มหาวิทยาลัย,คณะ,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ละติจูด,ลองจิจูด
จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมทั่วไป,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,ไม่ระบุ,ไม่ระบุ,322,38,380,0,15.961105,98.8981375
มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,บางเขน,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,31,0,40,0,16.452293,103.5303071
มหาวิทยาลัยกาฬสินธุ์,วิศวกรรมเกษตร,อส.บ.วิศวกรรมเครื่องจักรกลเกษตร,B.Ind.Tech(AgriculturalMachineryEngineering),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 8,650 ต่อภาคเรียน",ไม่ระบุ,ร้อยละ 100 ของผู้จบการศึกษา,ไม่ระบุ,10,10,20,28,16.4465919,103.5248738
มหาวิทยาลัยขอนแก่น,วิศวกรรมเกษตร,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมเกษตร) วิศวกรรมเกษตร,Bachelor of Engineering (Agricultural Engineering),ภาษาไทย ปกติ,ขอนแก่น,สามารถดูรายละเอียดได้ที่ https://admissions.kku.ac.th/tuitionfee/,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,26,29,7,4,16.47441,102.811746
มหาวิทยาลัยเชียงใหม่,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,ไม่ระบุ,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",61.50%,53.13%,"23,188",70,34,10,0,18.7828319,98.9279858
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมคอมพิวเตอร์,วศ.บ.สาขาวิศวกรรมคอมพิวเตอร์(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ComputerEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,27,11,10,0,13.6140464,99.6719051
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,วิศวกรรมการผลิต,วศ.บ.วิศวกรรมการผลิต,Bachelor of Engineering Program in Production Engineering,ภาษาไทย ปกติ,กรุงเทพฯ,"25,000 ต่อภาคเรียน",ไม่ระบุ,ร้อยละ 71.93 (ภาพรวมคณะ รุ่นปีการศึกษา 2564),"20,000 - 25,000 บาท (ภาพรวมคณะ รุ่นปีการศึกษา 2564)",67,64,30,21,13.8191368,100.5040095
มหาวิทยาลัยเทคโนโลยีสุรนารี,วิศวกรรมทั่วไป,"กลุ่มวิศวกรรมศาสตร์ (ประกอบด้วยสาขาวิชาวิศวกรรมการผลิตอัตโนมัติและหุ่นยนต์, วิศวกรรมเกษตรและอาหาร, วิศวกรรมคอมพิวเตอร์, วิศวกรรมเคมี, วิศวกรรมเครื่องกล, วิศวกรรมปิโตรเลียมและเทคโนโลยีธรณี, วิศวกรรมไฟฟ้า, วิศวกรรมโทรคมนาคม, วิศวกรรมยานยนต์,วิศวกรรมโยธา, วิศวกรรมขนส่งและโลจิสติส์, วิศวกรรมเซรามิก, วิศวกรรมพอลิเมอร์, วิศวกรรมโลหการ, วิศวกรรมสิ่งแวดล้อม, วิศวกรรมธรณี, วิศวกรรมอากาศยาน, วิศวกรรมอิเล็กทรอนิกส์, วิศวกรรมอุตสาหการ เรียนรวมกันปี 1 แยกสาขาปี 2)",Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,1700,400,300,150,14.8817713,102.0104179
มหาวิทยาลัยทักษิณ,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,พัทลุง,"18,000 บาท ต่อภาคเรียน",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,36,16,20,5,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมทั่วไป,วิศวกรรมศาสตรบัณฑิต (หลักสูตรนานาชาติ) (หลักสูตรสองสถาบัน) (TEP),Bachelor of Engineering Program (International Program)(Twinning Program),นานาชาติ,ศูนย์รังสิต,"ที่มหาวิทยาลัยธรรมศาสตร์ (รวม 5 ภาคเรียน) 90,000 ต่อภาคเรียน ที่มหาวิทยาลัยแห่งนอตติงแฮมประมาณ 19, 875 ปอนด์ ต่อปีการศึกษา ที่มหาวิทยาลัยแห่งนิวเซาท์เวลส์ ประมาณ 49,960 เหรียญออสเตรเลีย ต่อปีการศึกษา ที่มหาวิทยาลัย KU Leuven ประมาณ 6,600 ยูโร ต่อปีการศึกษา",ร้อยละ 80,ร้อยละ 90 ของผู้จบการศึกษา,40000 บาท,105,20,0,70,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยนครพนม,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน โดยประมาณ 72,200 บาท ตลอดหลักสูตร",อัตราการจบการศึกษา ร้อยละ 80,ร้อยละ 90 ของผู้จบการศึกษา,15000,40,40,40,0,17.2885747,104.7717835
มหาวิทยาลัยนราธิวาสราชนครินทร์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"112,000",อัตราการจบการศึกษา ร้อยละ 80 ของนักศึกษาปีการศึกษา 2567,ร้อยละ 90 ของผู้จบการศึกษา,ไม่ระบุ,25,30,27,31,6.4381939,101.7767429
มหาวิทยาลัยนเรศวร,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 16,000 ต่อภาคเรียน",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,30,25,50,10,16.7479109,100.1816553
มหาวิทยาลัยบูรพา,วิศวกรรมเคมี,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วศ.บ.) สาขาวิชาวิศวกรรมเคมี ภาคปกติ,Bachelor of Engineering Program in Chemical Engineering,ภาษาไทย ปกติ,หลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,48,0,0,0,13.2859352,100.9153013
มหาวิทยาลัยพะเยา,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,https://admission.up.ac.th/uploads/admission/media/file/64ffeea4861e34SobR.pdf,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,60,50,30,0,19.0284058,99.886131
มหาวิทยาลัยมหิดล,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศาลายา,"30,000 ต่อภาคการศึกษา",อัตราการจบการศึกษา ร้อยละ 75.68 ของนักศึกษาปีการศึกษา 2566,ร้อยละ 83.78 ของผู้จบการศึกษา,"31,000 บาท",25,10,35,0,13.7943812,100.3153491
มหาวิทยาลัยมหาสารคาม,วิศวกรรมทั่วไป,วศ.บ. วิศวกรรมศาสตร์,B.Eng. Engineering,ภาษาไทย ปกติ,มหาสารคาม,"15,000",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,341,217,70,30,16.2439981,103.2387686
มหาวิทยาลัยแม่โจ้,เทคโนโลยีการอาหาร,วิทยาศาสตร์และเทคโนโลยีการอาหาร,Food Science and Technology,ภาษาไทย ปกติ,วิทยาเขตเชียงใหม่,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,40,15,50,0,18.8946318,99.0005833
มหาวิทยาลัยรามคำแหง,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (วศ.บ. (วิศวกรรมคอมพิวเตอร์)),Bechelor of Engineering Program in Computer Engineering (B. Eng. (Computer Engineering)),ภาษาไทย ปกติ,วิทยาเขตหลักหัวหมาก,"เทอมแรก 33,000 บาท เทอมต่อไปเทอมละ 26,000 บาท ดูรายละเอียดเพิ่มเติม http://www.eng.ru.ac.th/fee",90% - 96%,98%,"ประมาณ 25,000.-",20,20,80,20,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยวลัยลักษณ์,วิศวกรรมคอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์,Bachelor of Engineering Program in Computer Engineering and Artificial Intelligence,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 32,700 ต่อภาคเรียน",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,70,40,5,1,8.6415682,99.8870841
มหาวิทยาลัยศรีนครินทรวิโรฒ,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,องครักษ์,"25,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 89.36 ของนักศึกษาปีการศึกษา 2565,ไม่ระบุ,ไม่ระบุ,38,7,15,0,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยศิลปากร,เทคโนโลยีการอาหาร,หลักสูตรวิทยาศาสตรบัณฑิต (เทคโนโลยีอาหาร),B.Sc.(FoodTechnology),ภาษาไทย ปกติ,สนามจันทร์,"ค่าใช้จ่ายตลอดหลักสูตร 152,000 บาท",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,94,30,40,20,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยสงขลานครินทร์,วิศวกรรมทั่วไป,วศ.บ. วิศวกรรมศาสตร์,Bachelor of Engineering,ภาษาไทย ปกติ,หาดใหญ่,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,596,175,75,10,7.0091017,100.4869945
มหาวิทยาลัยอุบลราชธานี,วิศวกรรมทั่วไป,"วิศวกรรมศาสตรบัณฑิต [สาขาวิชาวิศวกรรมเครื่องกล, สาขาวิชาวิศวกรรมอุตสาหการ, สาขาวิชาวิศวกรรมโยธา, สาขาวิชาวิศวกรรมไฟฟ้า, สาขาวิชาวิศวกรรมเคมีและสาขาวิชาวิศวกรรมสิ่งแวดล้อม (เลือกสาขาวิชาเมื่อขึ้นชั้นปีที่ 2)]",Bachelor of Engineering Program,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 15,000 ต่อภาคการศึกษา หรือ 120,000 ตลอดหลักสูตร",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,450,400,150,0,15.1172348,104.8925729
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,วิศวกรรมการเงิน,วศ.บ. วิศวกรรมการเงิน (หลักสูตรนานาชาติ),B.Eng. Financial Engineering (International Program),Double Degree - นานาชาติ พิเศษ,ลาดกระบัง,"120,000 ต่อภาคการศึกษา",อัตราการจบการศึกษา ร้อยละ 85 ของนักศึกษา ปีการศึกษา 2565,ไม่ระบุ,ไม่ระบุ,105,10,5,0,ไม่ระบุ,ไม่ระบุ
มหาวิทยาลัยราชภัฏชัยภูมิ,วิศวกรรมการผลิต,วศ.บ. สาขาวิชาวิศวกรรมการผลิตและระบบอัตโนมัติ,Bachelor of Engineering Program in Production Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,20,10,20,26,15.930226,102.0056489
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,โภชนาการ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการประกอบและบริการอาหาร,Bachelor of Science Program in Cookery and Food Service,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าธรรมเนียมการศึกษา ภาคเรียนแรกเข้า 17,000 บาท ค่าธรรมเนียมการศึกษาภาคเรียนถัดไป 13,000 ต่อภาคเรียน ประมาณการค่าธรรมเนียมศึกษาตลอดหลักสูตร 108,000 บาท",อัตราการจบการศึกษา ร้อยละ 45.45 ที่สำเร็จการศึกษา ปีการศึกษา 2564 ของนักศึกษาที่รับเข้า ปีการศึกษา 2561,ร้อยละ 77.78 ของผู้สำเร็จการศึกษา ปีการศึกษา 2564,"17,954 บาท",30,30,30,60,13.732296,100.4799052
มหาวิทยาลัยราชภัฏเพชรบุรี,วิศวกรรมเครื่องกล,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมเครื่องกล,Bachelor of Engineering Program in Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"15,000 ต่อภาคเรียน",อัตราการจบการศึกษา ร้อยละ 30.61 ของนักศึกษาปีการศึกษา 2565,ร้อยละ 80 ของผู้จบการศึกษา,"18,625.00 บาท",0,0,15,0,13.0695003,99.9653365
มหาวิทยาลัยราชภัฏสวนสุนันทา,สาธารณสุข,วท.บ.เทคโนโลยีความปลอดภัยและอาชีวอนามัย,Bachelor of Science,ภาษาไทย ปกติ,หลัก,"ค่าลงทะเบียนเรียน 15,500 บาท ต่อภาคเรียน และค่าธรรมเนียมแรกเข้าศึกษา 5,350 บาท (ค่าแรกเข้าชำระเฉพาะภาคเรียนแรกที่เข้าศึกษา) สามารถดูประกาศค่าธรรมเนียม ณ วันที่ประกาศรายชื่อผู้มีสิทธิ์เข้าศึกษาที่เว็บไซต์ https://admission.ssru.ac.th/login",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,24,20,30,40,13.7731976,100.4970228
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,วิศวกรรมคอมพิวเตอร์,วศ.บ. (วิศวกรรมคอมพิวเตอร์และระบบไอโอที),B.Eng. (Computer Engineering and IoT System),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าบำรุงการศึกษาและค่าเล่าเรียน 11,200 บาท ต่อภาคการศึกษา",,,,40,11,80,10,13.7710197,100.5184594
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,วิศวกรรมเกษตร,วิศวกรรมศาสตรบัณฑิต (วศ.บ.)สาขาวิชาวิศวกรรมเกษตรอัจฉริยะ,Bachelor of Engineering program in Smart Agricultural Engineering,ภาษาไทย ปกติ,คณะ/สถาบันในส่วนกลาง,111500,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,30,30,30,30,13.7711293,100.51846
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,วิศวกรรมทั่วไป,วิศวกรรมศาสตรบัณฑิต 13 สาขา โยธา ไฟฟ้า เครื่องกล อุตสาหการการผลิตอัตโนมัติ อุตสาหการและโลจิสติกส์ อิเล็กทรอนิกส์และโทรคมนาคม คอมพิวเตอร์ เคมี สิ่งแวดล้อม วัสดุพอลิเมอร์ นวัตกรรมสิ่งทอ เกษตรอุตสาหกรรม อาหาร,General Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,16000 บาท ต่อภาคเรียน,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,230,120,60,0,13.7712389,100.5184606
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,วิศวกรรมคอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ 4 ปี,BachelorofEngineering(B.Eng.),ภาษาไทย ปกติ,ศาลายา,"ค่าเทอมเป็นแบบเหมาจ่าย สายวิทยาศาสตร์ 15,000 บาท สายสังคม 12,000 บาท",ไม่น้อยกว่าร้อยละ 90 ของหลักสูตร,ไม่น้อยกว่าร้อยละ 90,ตามโครงสร้างขององค์กร,60,20,5,0,13.7958848,100.2902087
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,วิศวกรรมการผลิต,วศ.บ. วิศวกรรมการผลิต,Production Engineering,ภาษาไทย ปกติ,สงขลา,"110,000",80%,ไม่ระบุ,ไม่ระบุ,15,3,0,0,7.201236,100.2951121
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,วิศวกรรมเกษตร,วศ.บ.วิศวกรรมเครื่องจักรกลเกษตร,Programin Agricultural Machinery Engineering,ภาษาไทย ปกติ,นครราชสีมา,"อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร",อัตราการจบการศึกษา ร้อยละ 57.69 ของนักศึกษาปีการศึกษา 2565,ร้อยละ 60 ของผู้จบการศึกษา,"23,375 บาท",5,5,15,0,14.9874704,102.1076865
มหาวิทยาลัยเกษมบัณฑิต,วิศวกรรมไฟฟ้า,วศ.บ.วิศวกรรมไฟฟ้า,B.Eng. (Electrical Engineering),ภาษาไทย ปกติ,วิทยาเขตพัฒนาการ,"อัตราค่าเล่าเรียน 280,159 บาทตลอดหลักสูตร",อัตราการจบการศึกษา ร้อยละ 60 ของนักศึกษาปีการศึกษา 2565,ร้อยละ 30 ของผู้จบการศึกษา,"15,500 บาท",0,0,40,0,13.7712971,100.6420704
มหาวิทยาลัยเทคโนโลยีมหานคร,วิศวกรรมคอมพิวเตอร์,หลักสูตรมาตรฐาน,Standard curriculum,ภาษาไทย ปกติ,วิทยาเขตหลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,0,0,50,0,13.84223,100.8452121
มหาวิทยาลัยธุรกิจบัณฑิตย์,เทคโนโลยีสารสนเทศ,วิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศและวิทยาการข้อมูล,Bachelor of Science Program in Information Technology and Data,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าเล่าเรียนต่อเทอม 41,250 บาท หรือ ค่าเล่าเรียนตลอดหลักสูตร 340,000 บาท",อัตราการจบการศึกษา ร้อยละ 92 ของนักศึกษาปีการศึกษา 2564,ไม่ระบุ,ไม่ระบุ,40,40,40,0,13.8708074,100.5494178
มหาวิทยาลัยปทุมธานี,วิศวกรรมเครื่องกล,วิศวกรรมศาสตรบัณฑิต,Bachelor of Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 46,000 ต่อภาคเรียน หรือ 368,000 บาท ตลอดหลักสูตร",ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,0,0,10,0,14.0139192,100.5465811
มหาวิทยาลัยรังสิต,วิศวกรรมคอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์,B.Eng. Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ค่าเล่าเรียนตลอดหลักสูตร 396,800",75%,100%,25000,0,0,30,0,13.865924,100.4800272
มหาวิทยาลัยศรีปทุม,วิศวกรรมเครื่องกล,วศ.บ. สาขาวิชาวิศวกรรมเครื่องกล,B.Eng. Mechanical Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,ไม่ระบุ,10,10,10,10,13.8133551,100.5218878
มหาวิทยาลัยสยาม,วิศวกรรมทั่วไป,"วิศวกรรมศาสตรบัณฑิต (สาขาวิชาวิศวกรรมยานยนต์,สาขาวิชาวิศวกรรมเครื่องกล,สาขาวิชาวิศวกรรมไฟฟ้า,สาขาวิชาวิศวกรรมโยธา เลือกสาขาภายหลัง)","Bachelor of Engineering (Automotive Engineering, Mechanical Engineering, Electrical Engineering ,Civil Engineering)",ภาษาไทย ปกติ,วิทยาเขตหลัก,"ประมาณการอัตราค่าเล่าเรียน ตลอดหลักสูตร 320,000 บาท",ไม่ระบุ,ร้อยละ 90 ของผู้จบการศึกษา,"25,000.00 บาท",0,0,80,0,13.7213051,100.4430695
มหาวิทยาลัยหอการค้าไทย,วิศวกรรมคอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์),B.Eng. (Computer Engineering and Artificial Intelligence),ภาษาไทย ปกติ,วิทยาเขตหลัก,"อัตราค่าเล่าเรียน 340,000 บาท ตลอดหลักสูตร",อัตราการจบการศึกษา ร้อยละ 80 ของนักศึกษาปีการศึกษา 2566,ร้อยละ 100 ของผู้จบการศึกษา,ไม่ระบุ,0,0,60,0,13.7788589,100.5565909
สถาบันการจัดการปัญญาภิวัฒน์,เทคโนโลยีสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีดิจิทัลและสารสนเทศ,Bachelor of Science Program in Digital and Information Technology,ภาษาไทย ปกติ,แจ้งวัฒนะ นนทบุรี,"อัตราค่าเล่าเรียน 360,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",ร้อยละ 90 ของนักศึกษาปีการศึกษา 2565,ร้อยละ 100 ของผู้จบการศึกษา,"27,560 บาท",30,0,30,0,10.4375833,98.0696358
